Cabang,Netto
ACH,327762
BDG,119294
BEK,1820915
BGR,134939
BJM,612902
BKU,110498
BLG,74879
BLP,3293405
BTM,32463
CRB,8425140
DPK,46209
DPS,100621
JBI,1585809
JK1,25810705
JK2,29802974
JK3,2215665
JMB,52076814
KDR,872676
KRW,14106413
KUP,1524999
LMG,73089877
MDN,110582
MDO,5672020
MDU,417842
MKS,1123129
MLG,732315
MTR,223555
PBR,6201138
PDG,18660
PLB,1077254
PLU,1804486
PMS,465356
PTI,144677
PTK,538650
PWT,414738
SB2,214667
SBY,112310
SKB,9725364
SLO,995390
SMD,4735414
SMG,1008850
SRG,3423298
TGL,3872317
TSK,494682
YOG,7966491
